WordId,CategoryId,WordKey,DescriptionKey,Word_es-AR,Description_es-AR,Word_en,Description_en
argentine_celebrities.messi,argentine_celebrities,word.argentine_celebrities.messi.name,word.argentine_celebrities.messi.description,Messi,"Es un futbolista argentino, considerado uno de los mejores jugadores de la historia.",Messi,Argentine footballer widely regarded as one of the greatest players of all time.
argentine_celebrities.maradona,argentine_celebrities,word.argentine_celebrities.maradona.name,word.argentine_celebrities.maradona.description,Maradona,"Fue un futbolista argentino, campeón del mundo y una de las figuras más importantes del fútbol.",Maradona,Argentine World Cup champion and one of the most influential figures in football history.
argentine_celebrities.lali_esposito,argentine_celebrities,word.argentine_celebrities.lali_esposito.name,word.argentine_celebrities.lali_esposito.description,Lali Espósito,Es una cantante y actriz argentina conocida por su música pop y su carrera televisiva.,Lali Espósito,Argentine singer and actor known for pop music and a long television career.
argentine_celebrities.davo,argentine_celebrities,word.argentine_celebrities.davo.name,word.argentine_celebrities.davo.description,Davo,Es un streamer y creador de contenido argentino enfocado en fútbol y debates deportivos.,Davo,Argentine streamer and creator focused on football and heated sports debates.
argentine_celebrities.duki,argentine_celebrities,word.argentine_celebrities.duki.name,word.argentine_celebrities.duki.description,Duki,"Es un cantante argentino de trap y música urbana, referente de la escena local.",Duki,Argentine trap and urban-music artist who became a defining voice of the local scene.
argentine_celebrities.carito_muller,argentine_celebrities,word.argentine_celebrities.carito_muller.name,word.argentine_celebrities.carito_muller.description,Carito Müller,Es una influencer argentina conocida por su contenido en redes y apariciones mediáticas.,Carito Müller,Argentine influencer known for social-media content and media appearances.
argentine_celebrities.ricardo_darin,argentine_celebrities,word.argentine_celebrities.ricardo_darin.name,word.argentine_celebrities.ricardo_darin.description,Ricardo Darín,"Es un actor argentino reconocido por su trabajo en cine, teatro y televisión.",Ricardo Darín,"Argentine actor acclaimed for his work in film, theater, and television."
argentine_celebrities.guillermo_francella,argentine_celebrities,word.argentine_celebrities.guillermo_francella.name,word.argentine_celebrities.guillermo_francella.description,Guillermo Francella,Es un actor y comediante argentino conocido por sus personajes populares y películas exitosas.,Guillermo Francella,"Argentine actor and comedian known for hugely popular characters, films, and TV shows."
argentine_celebrities.susana_gimenez,argentine_celebrities,word.argentine_celebrities.susana_gimenez.name,word.argentine_celebrities.susana_gimenez.description,Susana Giménez,"Es una conductora y actriz argentina, figura histórica de la televisión nacional.",Susana Giménez,Legendary Argentine TV host and actor with decades at the center of national entertainment.
argentine_celebrities.mirtha_legrand,argentine_celebrities,word.argentine_celebrities.mirtha_legrand.name,word.argentine_celebrities.mirtha_legrand.description,Mirtha Legrand,"Es una actriz y conductora argentina, reconocida por sus clásicos programas de almuerzos.",Mirtha Legrand,Argentine actor and TV host famous for her iconic lunch-table interviews.
argentine_celebrities.trini_nucera,argentine_celebrities,word.argentine_celebrities.trini_nucera.name,word.argentine_celebrities.trini_nucera.description,Trini Nucera,Es una influencer argentina conocida por su presencia en redes y apariciones mediáticas.,Trini Nucera,Argentine influencer known for her social-media presence and public feuds.
argentine_celebrities.china_suarez,argentine_celebrities,word.argentine_celebrities.china_suarez.name,word.argentine_celebrities.china_suarez.description,China Suárez,"Es una actriz, cantante y modelo argentina conocida por su trabajo en televisión y música.",China Suárez,"Argentine actor, singer, and model known for television, music, and nonstop celebrity drama."
argentine_celebrities.pampita,argentine_celebrities,word.argentine_celebrities.pampita.name,word.argentine_celebrities.pampita.description,Pampita,"Es una modelo, conductora y bailarina argentina reconocida por su carrera en moda y televisión.",Pampita,"Argentine model, TV host, and dancer with a major career in fashion and entertainment."
argentine_celebrities.martin_cirio,argentine_celebrities,word.argentine_celebrities.martin_cirio.name,word.argentine_celebrities.martin_cirio.description,Martín Cirio,Es un influencer y comediante argentino conocido por su contenido de humor en internet.,Martín Cirio,Argentine influencer and comedian known for savage gossip and online humor.
argentine_celebrities.albere,argentine_celebrities,word.argentine_celebrities.albere.name,word.argentine_celebrities.albere.description,Albere,Es una influencer y creadora de contenido argentina conocida por su presencia en redes sociales.,Albere,Argentine influencer and content creator known for her social-media presence.
argentine_celebrities.wanda_nara,argentine_celebrities,word.argentine_celebrities.wanda_nara.name,word.argentine_celebrities.wanda_nara.description,Wanda Nara,Es una empresaria y personalidad mediática argentina conocida por su presencia en televisión y redes.,Wanda Nara,Argentine businesswoman and media personality who lives permanently in the celebrity spotlight.
argentine_celebrities.moria_casan,argentine_celebrities,word.argentine_celebrities.moria_casan.name,word.argentine_celebrities.moria_casan.description,Moria Casán,"Es una actriz, vedette y conductora argentina conocida por su estilo frontal y frases populares.",Moria Casán,"Argentine actor, showgirl, and host famous for her blunt style and meme-worthy lines."
argentine_celebrities.julian_alvarez,argentine_celebrities,word.argentine_celebrities.julian_alvarez.name,word.argentine_celebrities.julian_alvarez.description,Julián Álvarez,"Es un futbolista argentino, campeón del mundo y delantero de la Selección Argentina.",Julián Álvarez,Argentine World Cup champion and forward for the national team.
argentine_celebrities.angel_di_maria,argentine_celebrities,word.argentine_celebrities.angel_di_maria.name,word.argentine_celebrities.angel_di_maria.description,Ángel Di María,"Es un futbolista argentino, campeón del mundo y figura clave de la Selección Argentina.",Ángel Di María,Argentine World Cup champion and a decisive figure for the national team.
